Student,LPIPS,SSIM
108590062.png,0.0,1.0
112598040.png,0.26123297214508057,0.8496227852016501
109590022.png,0.34060436487197876,0.8500584548572053
109590002.png,0.3880245089530945,0.8028019307513766
107590028.png,0.4143790006637573,0.8123615827649355
109590003.png,0.4638727307319641,0.7594299046714704
